PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2026-02-04,11:15:37.46,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.63537,0.9481445392,-2.276724421,2042.158805,192.7034035,12:30,4.95248,1.99533,5.86271,-28.27827,7.37081,1.66958,3.47742,0.01861,80.60656,-4.373879985,-1.962233226,0.4297299275,-1.56811,3.69833,-1.81199,50,5.01288,5.06959,-128.87157,1.21994,-2.62338,28.08415,-25.98689,145827d7-9e56-4b48-9278-79ba039fd3a8,fdc4172a-a4b7-4bb2-ad70-de102f110c86,87.71192,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-04,11:16:01.19,"Thompson, Paxton",801505,Right,,,Fastball,Live,,92.70579,1.759319035,-1.425223545,2533.517983,206.9237194,1:00,4.96537,2.06744,6.02344,-15.18611,17.67572,8.99256,5.33009,1.49673,82.74677,-1.136160199,0.2898043967,0.4125886423,-5.38649,9.0277,-1.96092,50,5.09473,3.06001,-134.69745,3.64673,-9.68029,35.20652,-15.94999,17becff6-efae-463e-84f2-4bda06a38820,fdc4172a-a4b7-4bb2-ad70-de102f110c86,91.35598,Pitching,25070091,,,,,,,,,,,,,,,,,,,,20.2486061,2376.945953,0.938199756,
3,2026-02-04,11:16:27.45,"Thompson, Paxton",801505,Right,,,Fastball,Live,,93.16818,-1.22547586,-2.694813392,2552.709897,217.5597126,1:15,4.95222,2.13445,6.07203,-14.53473,17.88136,13.7727,2.60576,0.7871,83.56157,-3.990957715,-0.07164042792,0.4097808693,-8.40686,10.15882,-1.93335,50,4.84977,5.92469,-135.335,-3.36818,-15.30143,34.66397,-13.68385,c4c9f312-cc38-4524-9d27-1b049019f7d6,fdc4172a-a4b7-4bb2-ad70-de102f110c86,91.98194,Pitching,25070091,,,,,,,,,,,,,,,,,,,,17.57555987,2433.548276,0.9533195602,
4,2026-02-04,11:16:47.71,"Thompson, Paxton",801505,Right,,,Fastball,Live,,91.9805,1.253251519,-2.484348623,2530.372317,219.5305036,1:15,4.89745,2.13618,6.15703,-16.18138,17.05805,14.12066,4.70792,1.01663,82.09575,-1.839034862,0.2143374893,0.4149523023,-8.58168,8.90826,-1.95496,50,4.98432,5.35527,-133.62252,2.41921,-15.17387,34.70621,-16.42271,4c77a283-0efd-4217-8026-b8a53cabfbeb,fdc4172a-a4b7-4bb2-ad70-de102f110c86,90.83559,Pitching,25070091,,,,,,,,,,,,,,,,,,,,25.62418984,2281.510257,0.9016500228,
5,2026-02-04,11:17:08.73,"Thompson, Paxton",801505,Right,,,Cutter,Live,,87.66971,0.7086177541,-2.618958805,2148.169458,187.7770171,12:15,4.85535,2.15195,5.8834,-28.70152,7.64244,1.049,3.12222,-0.19401,79.95764,-4.685217037,-2.421640315,0.4338978272,-1.31536,3.92067,-1.94144,50,4.89596,5.79707,-127.46834,0.66173,-2.15816,26.87989,-25.74127,d16db6d6-2114-4571-a3db-3bff84d0ce15,fdc4172a-a4b7-4bb2-ad70-de102f110c86,86.86939,Pitching,25070091,,,,,,,,,,,,,,,,,,,221.8750034,70.2990087,724.1727297,0.3371115472,1:30
6,2026-02-04,11:17:42.67,"Thompson, Paxton",801505,Right,,,Cutter,Live,,88.88916,-0.4063974281,-3.328592338,2045.716637,208.8057609,1:00,4.8824,2.17798,6.18708,-27.59465,7.59752,4.19993,2.20703,-0.54841,80.66535,-5.630345715,-2.532098617,0.4269671033,-3.31435,4.27572,-1.92934,50,4.83782,7.385,-129.17193,-1.75669,-5.54574,29.33268,-25.01969,1a200a1c-5efa-4112-ad2b-2371762945cd,fdc4172a-a4b7-4bb2-ad70-de102f110c86,88.27949,Pitching,25070091,,,,,,,,,,,,,,,,,,,223.6942534,68.4942025,749.9502467,0.3665953696,1:30
7,2026-02-04,11:18:02.75,"Thompson, Paxton",801505,Right,,,Fastball,Live,,93.13355,-1.514898504,-3.571466286,2536.049911,218.8104995,1:15,4.92871,2.05529,6.15974,-15.53283,16.97473,13.67863,2.23199,-0.10796,83.20855,-4.479738424,-0.9593860704,0.4103586813,-8.72123,9.81745,-1.79139,50,4.80588,8.00204,-135.14259,-4.07247,-15.76403,35.66049,-14.42855,de6b8b75-3a23-4ea4-862a-3157b359dcd3,fdc4172a-a4b7-4bb2-ad70-de102f110c86,91.85242,Pitching,25070091,,,,,,,,,,,,,,,,,,,,10.09309316,2496.802795,0.9845243128,
8,2026-02-04,11:18:24.89,"Thompson, Paxton",801505,Right,,,Sweeper,Live,,82.32256,-0.7214205356,-2.502448527,2437.590721,81.27350464,8:45,4.85906,2.19537,5.89545,-43.67355,-1.87409,-11.95003,0.54924,-1.12492,74.78536,-8.91811462,-4.764053881,0.4653253603,5.64099,-0.77478,-1.98743,50,4.77635,5.57842,-119.57447,-2.79563,8.01199,27.14269,-33.27448,6e005718-08cc-4916-9157-59f30a13c927,fdc4172a-a4b7-4bb2-ad70-de102f110c86,81.00233,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-04,11:18:48.98,"Thompson, Paxton",801505,Right,,,Sweeper,Live,,82.83987,-0.2032694687,-3.049367152,2247.967328,98.16195922,9:15,4.81446,2.23767,5.82884,-39.64934,1.84923,-13.17063,1.32115,-1.69678,74.91571,-7.655731201,-5.537627658,0.4636475918,6.08738,1.06948,-1.98126,50,4.77489,6.80055,-120.24671,-1.6157,8.72484,27.90242,-30.6412,b1a47db1-ac49-4624-9c0d-143eea5a4368,fdc4172a-a4b7-4bb2-ad70-de102f110c86,81.29545,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-04,11:19:18.10,"Thompson, Paxton",801505,Right,,,Fastball,Live,,93.1204,-1.179604464,-3.618571141,2490.222596,216.8783447,1:15,4.89234,2.04991,6.36936,-15.28366,16.9465,12.74423,2.53113,-0.22163,83.23486,-4.108264076,-1.176668536,0.4086040118,-8.27346,9.75392,-1.79465,50,4.80008,8.16258,-135.19286,-3.25346,-14.97194,35.57711,-14.52302,1e431cd4-d41d-4927-98c3-ed9098d0f2c4,fdc4172a-a4b7-4bb2-ad70-de102f110c86,92.24686,Pitching,25070091,,,,,,,,,,,,,,,,,,,233.6110343,28.30218725,2192.539531,0.8804592547,1:45
