PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2026-02-13,13:50:44.31,"Thompson, Paxton",801505,Right,,,Cutter,Live,,87.34135,0.4394535776,-2.206146315,2055.063766,193.3675123,12:30,4.8117,2.0404,6.16622,-26.33136,9.90873,2.36369,3.02359,0.19887,79.55299,-4.540381121,-1.758582104,0.4332774013,-1.93027,5.27528,-1.87471,50,4.83147,4.82432,-127.0809,0.18134,-3.14277,27.10763,-23.58512,2c3473ac-02c8-4235-819b-33bd8753a40a,6f52afdc-2aac-4184-b60b-0d217b3293b4,86.99378,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-13,13:51:17.77,"Thompson, Paxton",801505,Right,,,Fastball,Live,,92.04288,0.4590787824,-4.079052511,2583.683826,217.5050285,1:15,4.92959,1.95903,5.9617,-13.67559,19.8731,15.31842,4.21667,-0.55263,82.02806,-2.144507316,-1.166507145,0.4168781907,-9.72911,10.64601,-1.64389,50,4.95853,9.0215,-133.47656,0.62836,-17.16287,34.66542,-13.39371,00421b1e-78ff-4693-ab20-b36574116e04,6f52afdc-2aac-4184-b60b-0d217b3293b4,90.41595,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-13,13:51:37.81,"Thompson, Paxton",801505,Right,,,Cutter,Live,,87.5635,-2.402471112,-5.197456109,2206.386,196.576281,12:30,4.77336,1.92606,5.97967,-28.16568,8.42711,2.52282,0.18908,-2.69402,80.17846,-7.660255488,-4.724621419,0.4353807146,-2.86329,5.25658,-1.5164,50,4.56738,11.45867,-126.83712,-6.22254,-4.64932,26.72687,-23.63858,25b7acf2-cb5f-4414-b4d1-cb6082dc11c3,6f52afdc-2aac-4184-b60b-0d217b3293b4,86.57352,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-13,13:52:06.92,"Thompson, Paxton",801505,Right,,,Fastball,Live,,91.52354,-0.09423391923,-3.478770165,2519.976385,218.1423077,1:15,4.79548,2.09905,,-14.73152,21.11669,16.6356,3.47798,0.16973,81.33849,-2.83188908,-0.389059067,0.4309284451,-9.81253,10.95681,-1.75178,50,4.77244,7.38376,-132.44668,-0.80957,-17.0239,34.43485,-13.16492,83e509e0-e814-4ea6-910b-dccaac6e9abb,6f52afdc-2aac-4184-b60b-0d217b3293b4,,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-13,13:52:34.04,"Thompson, Paxton",801505,Right,,,Slider,Live,,79.09948,2.139139132,0.0762863073,2379.95291,85.8488477,8:45,4.74109,2.18592,5.51504,-47.36543,-1.21783,-16.22679,2.79483,0.90501,70.94845,-6.78381554,-2.992331019,0.4889292137,8.71421,-1.39959,-2.182,50,4.89643,0.33585,-114.80554,2.86174,11.348,26.06365,-33.99666,6352307d-d547-4071-8aa6-053b363125de,6f52afdc-2aac-4184-b60b-0d217b3293b4,77.09181,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-13,13:53:07.51,"Thompson, Paxton",801505,Right,,,Fastball,Live,,92.1745,-1.229702762,-3.427179524,2495.411251,221.732269,1:30,4.8615,1.94115,6.19171,-14.5918,18.48927,16.52348,2.50816,0.15067,82.44141,-4.01617322,-0.2711185962,0.4139626768,-10.2202,10.55034,-1.69148,50,4.76159,7.49827,-133.80883,-3.33235,-18.13927,34.5456,-13.44884,ec02e72f-76f9-4612-8c7f-620af313017b,6f52afdc-2aac-4184-b60b-0d217b3293b4,91.05275,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-13,13:53:35.78,"Thompson, Paxton",801505,Right,,,Slider,Live,,80.7044,-0.01628501374,-1.754701792,2248.753288,70.59487578,8:15,4.75261,1.95052,5.67871,-50.15283,-6.02246,-16.9999,0.55803,-1.10215,72.89837,-9.427158114,-4.973982082,0.4781235987,8.53346,-3.23931,-1.79247,50,4.7206,4.09709,-117.17765,-1.53014,11.54611,27.68001,-36.55696,0ae6345c-8148-4b63-b609-5a3bed4dd185,6f52afdc-2aac-4184-b60b-0d217b3293b4,78.83409,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-13,13:54:02.30,"Thompson, Paxton",801505,Right,,,Slider,Live,,79.13264,3.071210895,-0.2515286075,2449.5625,109.2754869,9:45,4.75637,2.13875,5.486,-40.47138,5.76086,-16.54848,4.25943,0.52442,70.67242,-4.564660334,-3.378297402,0.4893773587,8.76291,2.00691,-2.10587,50,4.99872,1.00437,-114.7609,4.93327,11.40209,26.05111,-29.5627,70274bfe-5308-4344-aafc-84dc07cfef2a,6f52afdc-2aac-4184-b60b-0d217b3293b4,77.02122,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-13,13:54:27.74,"Thompson, Paxton",801505,Right,,,Cutter,Live,,87.28278,-0.3850085539,-2.681564193,2243.847029,195.9269802,12:30,4.70376,1.98024,6.06333,-28.93517,7.63703,2.19021,1.93584,-0.32044,79.39382,-5.844976031,-2.267197791,0.4352582181,-1.9971,4.26815,-1.77367,50,4.6585,5.87652,-126.90166,-1.73999,-3.23137,27.85345,-25.26807,26ad4e3a-f66e-4faa-9af0-ca5420425582,6f52afdc-2aac-4184-b60b-0d217b3293b4,86.59788,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-13,13:55:24.02,"Thompson, Paxton",801505,Right,,,Slider,Live,,80.2158,2.188138465,-0.3934878896,2309.411263,98.46281997,9:15,4.77891,2.11984,5.66906,-42.21967,2.31733,-15.78543,3.3015,0.43756,71.97623,-5.786759869,-3.382870685,0.4803213514,8.3583,0.49339,-2.07696,50,4.93747,1.27054,-116.46832,3.19137,11.22175,26.47622,-31.51163,10ce4d09-ea0d-4aab-a2fd-5d59d95ed952,6f52afdc-2aac-4184-b60b-0d217b3293b4,78.47338,Pitching,25070091,,,,,,,,,,,,,,,,,,,50.52728172,59.55281235,1170.280165,0.5067439413,7:45
