PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
16,2026-01-30,10:46:12.26,"Blend B, Mound",1000505729,Both,,,,Live,,91.04985,-0.0128820696,-2.623422397,2453.42654,211.0230451,1:00,4.93433,2.2453,7.54114,-12.45091,20.24299,12.20341,3.88516,0.90068,79.90455,-2.478930408,-0.2067071062,0.4115330862,-8.12486,11.71184,-2.11276,50,4.93064,5.80474,-132.51764,-0.30238,-13.82607,39.64901,-12.24401,a5351de4-38df-4cd7-912d-94672dabe76d,8585c94a-cb5d-469f-992e-fd051687a651,91.5903,Pitching,25070091,,,,,,,,,,,,,,,,,,,,-0.5386868262,2453.318106,0.9999558029,
18,2026-01-30,10:46:36.26,"Blend B, Mound",1000505729,Both,,,,Live,,91.32712,1.008932017,-2.918101595,2541.107969,216.3710063,1:15,5.03191,2.03012,7.70109,-11.51945,20.13161,14.87283,4.978,0.6504,81.8607,-1.252716907,0.001484710344,0.4049165731,-9.59112,11.3113,-1.89083,50,5.07867,6.46465,-133.04128,2.10045,-16.84557,33.87941,-12.30722,2274d730-6774-48d3-8c70-4be61a4248d1,8585c94a-cb5d-469f-992e-fd051687a651,93.08693,Pitching,25070091,,,,,,,,,,,,,,,,,,,211.4901449,17.79559492,2419.523304,0.9521528927,1:00
20,2026-01-30,10:47:12.25,"Blend B, Mound",1000505729,Both,,,,Live,,93.27789,0.593862208,-2.732328842,2656.168322,229.4762707,1:45,4.83696,2.00974,7.84838,-14.54316,15.6976,18.42424,4.15668,1.1,83.42629,-2.27424495,0.9017869882,0.3957926786,-11.6802,8.93534,-1.88696,50,4.86153,6.10632,-135.9371,1.10974,-21.33815,36.37673,-15.85038,d598cd79-70e8-4e2e-8c8e-b206956fec89,8585c94a-cb5d-469f-992e-fd051687a651,95.23278,Pitching,25070091,,,,,,,,,,,,,,,,,,,,13.75470085,2579.996229,0.9713225655,
22,2026-01-30,10:47:44.81,"Blend B, Mound",1000505729,Both,,,,Live,,90.80659,-0.2826557884,-2.684226614,2550.436737,215.7592678,1:15,5.09172,2.10491,6.00355,-14.96193,19.46987,14.05468,3.58275,0.78766,80.79783,-3.138923882,-0.0004621611452,0.4223293986,-8.61169,10.7108,-1.90173,50,5.06147,5.73591,-131.85293,-1.1257,-14.76599,34.82955,-13.80884,a7fd3488-ea95-46c2-8a68-54528e0b257b,8585c94a-cb5d-469f-992e-fd051687a651,89.24891,Pitching,25070091,,,,,,,,,,,,,,,,,,,,12.38017656,2491.130194,0.9767465149,
24,2026-01-30,10:48:16.03,"Blend B, Mound",1000505729,Both,,,,Live,,91.59344,-0.08945755794,-1.997350045,2605.590623,210.6693403,1:00,5.03911,2.06881,5.53938,-12.12574,22.58368,13.41774,3.94499,1.31968,80.72515,-2.396582423,0.5563842413,0.4240285684,-7.97006,12.16754,-1.90443,50,5.02362,4.17146,-132.85676,-0.62493,-13.75089,37.65665,-11.18118,4e5bb0b8-ddc5-473d-bf56-6a8922885246,8585c94a-cb5d-469f-992e-fd051687a651,88.89127,Pitching,25070091,,,,,,,,,,,,,,,,,,,,14.46726581,2522.968723,0.9682905293,
27,2026-01-30,10:49:21.29,"Blend B, Mound",1000505729,Both,,,,Live,,92.66898,-1.003623264,-3.298093111,2576.015169,219.9018891,1:15,4.99913,2.07494,6.28247,-16.71022,16.27326,13.63948,2.68012,0.16892,81.91101,-4.219780784,-0.6715325345,0.4133516437,-8.77255,9.35529,-1.83846,50,4.91721,7.3337,-134.47017,-2.86841,-15.51671,38.38453,-15.6266,5541981b-d858-47d2-90b9-f402a5a1c0f5,8585c94a-cb5d-469f-992e-fd051687a651,91.18735,Pitching,25070091,,,,,,,,,,,,,,,,,,,,21.4839966,2397.033377,0.9305198999,
29,2026-01-30,10:49:58.76,"Blend B, Mound",1000505729,Both,,,,Live,,93.00889,-2.085418761,-4.338879168,2595.938404,225.0961978,1:30,4.90006,2.11798,6.12951,-16.30913,16.22496,16.29764,1.60724,-0.54154,83.57223,-5.18541657,-1.240683964,0.4105260079,-10.31878,9.54373,-1.79487,50,4.73211,9.71055,-134.8399,-5.44461,-18.68435,33.83372,-14.8931,ac0a90bd-05cb-4fbd-a2e4-f99f06fe7bbe,8585c94a-cb5d-469f-992e-fd051687a651,91.81498,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
31,2026-01-30,10:50:43.05,"Blend B, Mound",1000505729,Both,,,,Live,,92.12074,0.3496400185,-2.992969455,2371.65974,216.9986087,1:15,4.90289,2.06092,5.91531,-17.89337,15.40612,11.64815,3.73666,0.25179,82.69269,-3.04398875,-0.7841097945,0.4153270498,-7.28917,8.23568,-1.82783,50,4.92083,6.61114,-133.78798,0.22777,-12.99468,33.28325,-17.49201,c776e55d-4d72-4aff-9409-8cd3c605526f,8585c94a-cb5d-469f-992e-fd051687a651,90.75363,Pitching,25070091,,,,,,,,,,,,,,,,,,,221.3670766,25.17307305,2146.416227,0.9050270534,1:30
33,2026-01-30,10:51:35.72,"Blend B, Mound",1000505729,Both,,,,Live,,92.75751,-2.797366484,-4.668445951,2619.355812,225.2150747,1:30,4.86259,2.03596,6.1096,-14.80705,17.85382,17.98204,1.03171,-0.79129,83.69648,-5.604116267,-1.260596339,0.4113251811,-11.26317,10.60962,-1.68692,50,4.6397,10.39721,-134.37978,-7.06249,-20.35304,32.31714,-13.002,ab37dac4-b705-43e7-9f34-90136dbe0fac,8585c94a-cb5d-469f-992e-fd051687a651,91.63659,Pitching,25070091,,,,,,,,,,,,,,,,,,,,20.91651257,2446.744518,0.9341016241,
35,2026-01-30,10:52:21.12,"Blend B, Mound",1000505729,Both,,,,Live,,92.78327,-2.216406638,-5.060455089,2597.991622,226.6970745,1:30,4.79049,2.10998,6.20663,-15.04267,17.44385,18.5291,1.48249,-1.02815,83.7701,-5.073342749,-1.547572868,0.4102258323,-11.69593,10.22523,-1.73919,50,4.61619,11.32066,-134.43333,-5.69718,-21.18157,31.96638,-13.65595,7d3962f3-f434-4fa5-bafd-2638658807e7,8585c94a-cb5d-469f-992e-fd051687a651,91.88217,Pitching,25070091,,,,,,,,,,,,,,,,,,,,,,,
